Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Prediccion,Predicted_Probability
1,1,26,1,0,1432,4,1,6,3,1,2,0,6,6,3,6,5,4,1,205,231,0,0.10430689
1,0,65,1,2,7982,1,4,4,5,0,1,4,3,3,2,3,6,2,3,1835,431,0,0.3121347
0,0,30,0,0,6668,4,2,3,2,3,6,1,3,6,2,1,2,0,0,1354,1350,0,0.1501193
0,0,86,0,2,7856,4,3,6,1,4,1,3,6,4,0,1,6,5,5,477,1720,0,0.36761004
1,1,66,1,2,2582,3,3,1,2,3,2,6,4,4,6,2,2,1,3,965,796,0,0.0021902837
1,1,83,0,2,9328,0,1,0,3,6,0,0,3,5,5,1,1,4,5,1009,1894,1,0.9999168
1,0,71,1,0,7130,0,4,5,4,3,4,4,4,6,1,1,3,1,0,111,286,1,0.9727457
1,1,88,0,1,2719,5,1,6,1,3,4,1,4,1,0,1,4,2,6,1830,593,1,0.99102306
0,1,52,0,2,9448,6,3,5,3,0,6,2,0,3,2,6,6,6,0,686,889,1,0.9998776
1,0,13,0,0,3860,4,6,3,6,3,0,5,5,3,1,1,4,1,2,1574,1688,0,0.003449174
1,1,56,1,0,2777,2,6,2,3,1,4,3,4,4,4,2,3,6,4,451,1247,0,0.018264586
1,1,77,1,1,1953,6,2,3,0,5,4,0,0,3,6,5,2,2,4,1665,1109,1,0.5989182
1,0,38,0,1,1553,5,3,1,6,6,1,4,1,2,6,2,1,0,5,972,1897,1,0.9835675
1,1,94,0,2,3862,1,5,4,3,6,2,6,5,4,0,3,5,2,1,1601,5,0,6.2225125e-05
0,1,23,0,1,2379,2,5,0,5,2,1,0,6,4,4,3,6,2,0,1713,176,0,1.210541e-05
1,0,14,0,2,3289,4,3,6,5,2,4,4,4,2,1,2,3,6,5,347,1609,0,0.14066328
0,1,70,1,1,8783,6,2,6,4,6,3,0,0,0,4,0,0,3,1,719,1818,1,0.98646
1,1,59,1,2,6245,3,5,1,4,3,0,5,4,3,0,4,5,4,6,1972,560,0,0.08566262
0,1,41,1,2,7105,6,0,5,1,4,4,1,1,5,6,2,6,3,2,1291,1552,1,0.9799944
1,1,93,1,0,8729,2,6,2,5,0,0,1,5,6,4,4,6,1,4,633,885,0,0.0014197093
1,0,82,1,2,8766,6,4,4,2,4,4,5,6,2,5,6,3,4,2,1315,1933,1,0.99845135
1,1,60,0,0,3141,5,4,2,6,6,0,4,4,3,5,2,5,6,2,759,940,1,0.9995233
1,1,59,1,1,1990,0,0,2,2,4,3,6,3,4,3,1,2,6,4,1502,989,1,0.99892515
1,1,20,0,2,6380,2,6,2,1,4,6,6,4,3,4,2,0,2,6,1958,444,0,0.0024977173
0,1,57,0,2,9226,4,0,5,4,3,0,0,5,1,6,2,2,3,2,258,1670,0,0.07818086
1,1,5,1,2,2337,0,0,2,4,0,2,2,1,3,1,3,5,6,5,1196,616,1,0.99274445
1,0,7,0,0,3043,4,3,0,0,3,3,6,6,6,1,6,1,5,2,1285,625,0,0.004420556
0,1,54,0,1,9687,4,0,6,0,1,1,1,2,6,3,6,5,1,5,1594,45,0,0.008605953
0,1,41,1,2,4254,0,0,6,4,3,6,4,5,0,5,2,4,0,3,734,639,1,0.9792107
0,1,67,1,1,5778,1,4,4,6,6,2,6,1,3,0,1,0,4,2,551,632,0,6.668758e-05
1,0,48,0,1,8476,3,5,6,5,3,6,4,4,1,1,5,6,3,2,716,1559,0,0.0048463065
0,0,43,0,1,1139,3,0,3,3,4,2,3,6,4,0,1,6,6,3,785,84,0,0.0009262992
0,0,35,0,2,7145,1,0,6,1,0,3,0,0,1,1,1,2,0,4,534,963,0,0.0001900995
0,1,70,0,2,2593,5,3,3,0,4,0,0,6,1,0,3,0,5,6,1865,1997,1,0.9445685
1,1,37,1,2,4056,1,4,5,3,1,2,5,1,6,2,1,5,5,3,837,1410,0,0.0034398085
1,1,26,1,1,6410,2,1,6,4,0,3,0,3,4,6,3,1,6,3,1353,184,0,0.0077183545
0,1,13,1,0,2191,4,3,0,5,1,1,0,5,0,5,6,4,1,3,1049,351,0,0.16391297
0,0,91,1,2,6324,2,5,0,5,2,1,3,6,2,5,0,1,3,4,567,507,0,0.03272899
0,0,38,0,1,7994,3,0,2,6,4,2,5,3,3,4,0,6,1,6,363,914,0,0.00012338728
0,1,71,1,0,9292,2,3,1,2,2,1,6,5,2,4,0,4,1,3,1092,1446,0,0.009335697
0,0,70,1,1,8541,5,5,2,0,4,3,3,6,4,5,1,4,0,5,1653,1061,1,0.9914683
1,0,92,1,1,3794,1,3,4,6,3,3,2,0,3,1,3,1,2,5,1985,261,0,0.0013948984
0,0,64,0,1,3077,4,1,1,2,6,3,6,2,4,5,4,6,3,3,287,2000,0,0.07550943
1,1,3,1,0,6336,4,3,4,4,3,1,4,3,2,2,3,6,2,1,546,581,1,0.8089049
0,1,74,1,0,2764,5,1,4,2,2,1,1,0,6,5,5,0,1,3,929,968,1,0.9405472
1,1,37,1,1,2751,1,2,6,3,5,0,3,5,5,5,2,1,2,6,819,848,0,0.008717225
1,1,4,0,2,823,5,4,1,1,6,0,5,6,4,4,1,6,4,2,1579,982,1,0.94471234
0,1,4,1,2,9242,1,0,0,1,3,4,1,1,4,4,2,5,5,4,751,146,0,0.0029862472
1,1,49,0,1,623,3,1,3,3,2,2,4,6,2,2,2,0,0,0,289,189,0,0.00035751675
0,0,5,1,2,2849,2,6,3,1,5,2,1,1,5,0,0,4,2,6,937,945,0,0.0035817353
1,1,54,0,2,3333,5,4,5,3,4,3,2,3,3,3,6,1,2,2,516,413,1,0.9979456
