Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Prediccion,Predicted_Probability
0,1,94,1,2,9016,5,6,2,4,6,0,0,1,2,1,5,1,0,0,1356,284,1,0.7846767
0,0,99,0,0,1003,0,3,5,5,2,3,5,5,1,6,6,2,0,0,1902,1447,1,0.99336606
1,1,39,1,2,9034,2,4,5,3,1,4,6,2,4,4,6,1,2,6,1585,1489,0,0.11060393
1,1,55,0,2,5693,6,6,2,5,5,4,4,2,4,2,5,2,0,4,168,1393,1,0.9989796
1,0,90,0,1,6032,2,6,4,4,2,1,0,2,1,3,2,4,3,5,1635,1132,0,0.00043008965
0,0,97,1,0,3892,0,0,3,4,5,1,4,3,1,5,3,6,3,5,1350,1586,1,0.9998522
1,0,22,1,2,8590,1,0,5,0,4,1,3,1,0,5,0,4,6,6,1337,1065,1,0.9801516
0,0,67,0,0,4996,2,3,0,5,2,0,6,3,2,5,6,5,5,2,1765,1452,0,0.000114314294
0,0,83,0,1,148,3,4,5,6,1,4,5,4,3,1,3,6,4,2,1802,1613,0,0.010065156
0,0,14,1,0,3423,5,4,3,1,4,3,0,5,1,2,2,3,1,5,126,1472,0,0.37826952
1,1,6,0,1,2949,5,2,1,5,2,3,6,2,2,2,5,1,3,1,1229,1451,1,0.8067069
1,0,59,0,0,2009,0,0,5,6,3,5,4,4,2,1,3,1,6,1,1717,60,1,0.9368443
0,0,12,0,0,9340,5,0,6,5,5,0,5,5,2,4,1,2,2,6,856,225,1,0.9745943
0,1,85,0,1,1327,0,2,4,2,4,5,2,2,5,4,1,4,0,6,290,723,1,0.998069
0,1,57,0,0,9582,0,4,4,4,0,3,2,3,1,2,2,3,1,3,228,643,1,0.9898344
1,0,6,0,1,4140,0,4,0,6,4,5,0,4,6,6,2,2,6,1,855,688,1,0.98889446
1,0,69,0,1,4007,0,0,6,4,4,5,5,6,6,0,0,5,6,5,756,1492,1,0.98440635
0,1,6,0,0,1881,5,5,0,1,2,3,1,1,3,2,6,5,5,1,92,857,1,0.9632574
1,1,27,1,1,3238,4,0,6,6,0,1,5,5,6,4,0,0,6,6,559,117,0,0.097434714
0,1,80,1,0,7239,5,5,5,0,0,3,2,5,4,4,1,3,6,0,1436,102,1,0.9512902
0,0,89,0,0,585,6,3,3,3,4,5,0,3,1,3,4,1,0,4,634,23,1,0.910705
1,0,72,0,0,4123,5,1,2,2,3,5,0,5,5,0,5,5,3,5,835,316,1,0.98186815
0,0,75,1,1,7903,4,0,0,3,2,5,0,1,3,0,2,1,0,0,721,1031,1,0.6476501
0,0,60,0,1,3326,0,3,3,0,0,6,4,2,4,1,1,0,4,2,443,791,1,0.98722434
1,1,33,1,1,7261,3,4,4,2,2,3,1,3,5,5,2,4,3,2,1757,365,0,0.012003301
0,1,29,0,0,5687,4,1,2,6,2,1,4,1,5,0,1,6,2,1,700,160,0,0.043384083
0,1,0,0,0,389,6,3,1,6,6,4,6,6,6,0,2,0,6,0,1576,1820,1,0.89151454
0,0,17,1,0,6715,2,2,6,2,6,2,1,4,4,5,0,5,0,0,234,1193,1,0.89044046
0,0,49,0,0,2714,4,6,6,2,5,3,3,2,0,3,1,3,1,3,101,881,0,0.05875258
1,0,76,0,0,7362,0,6,3,0,6,5,0,3,1,0,0,4,4,1,1579,1470,1,0.9807357
1,1,5,0,2,3545,4,0,6,4,0,5,3,4,2,2,2,2,6,0,604,1726,0,0.002204252
0,0,6,1,0,4809,5,0,5,2,2,4,6,3,5,2,5,4,3,0,145,1856,0,0.44180238
1,1,91,1,2,6145,0,3,2,5,1,4,3,6,3,3,1,1,1,6,1926,1804,1,0.90765524
1,1,18,1,2,9351,4,4,5,2,6,1,4,2,3,3,2,4,1,4,1861,290,0,0.17328925
1,0,94,0,1,6945,0,3,0,4,3,0,3,2,2,6,4,0,5,2,520,1821,1,0.9989973
1,1,65,0,1,3014,6,3,2,4,5,1,4,3,1,4,0,1,3,3,113,432,1,0.99702954
1,0,88,0,0,6095,2,6,3,5,6,0,1,1,1,4,3,2,1,4,1226,1573,0,9.048518e-05
1,1,98,1,1,4993,1,6,3,6,6,3,4,1,6,2,1,2,6,6,1586,1093,0,0.0010967009
0,0,32,0,2,8630,1,6,5,4,3,4,5,2,0,3,5,1,6,1,645,1012,0,0.0005474722
0,1,29,0,1,8219,6,4,1,3,2,0,2,6,2,5,2,2,0,0,165,12,1,0.9985511
1,1,78,0,0,1706,2,6,5,4,3,0,2,1,3,3,3,6,4,5,1015,1231,0,0.0009969481
0,0,61,0,2,5453,2,5,1,3,4,6,1,0,5,0,1,2,1,2,1391,1356,0,0.002147076
0,1,12,1,0,8298,5,6,5,5,1,3,0,5,6,4,3,6,4,0,593,969,1,0.9741837
